"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"1","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"2","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"3","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"4","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"5","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"6","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"7","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"8","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"9","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"10","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"11","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"12","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"13","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"14","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"15","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"16","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"17","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"18","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"19","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"20","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"21","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
"22","Sui_2014_APP_Exp3","/","/","/","/","/","/","/","/"
